Year,Full-Time,Part-Time,ln(Full-Time),ln(Part-Time)
1/1/19,576911,116839,13.26544329,11.6685522
2/1/19,577742,116728,13.26688268,11.66760172
3/1/19,580883,116413,13.27230464,11.66489949
4/1/19,582586,115683,13.27523209,11.65860897
5/1/19,584911,116762,13.27921498,11.66789295
6/1/19,589111,117598,13.2863699,11.67502731
7/1/19,588879,117261,13.28597601,11.6721575
8/1/19,588754,116482,13.28576372,11.66549203
9/1/19,590325,115478,13.28842851,11.65683531
10/1/19,593416,115608,13.29365095,11.65796044
11/1/19,594105,116302,13.29481135,11.66394554
12/1/19,595333,116566,13.29687619,11.66621292
1/1/20,598155,115789,13.3016052,11.65952485
2/1/20,600315,116433,13.3052098,11.66507128
3/1/20,599406,113582,13.30369444,11.64028032
4/1/20,572545,105513,13.25784661,11.56658945
5/1/20,558620,102823,13.23322474,11.54076434
6/1/20,557606,106218,13.2314079,11.57324886
7/1/20,567592,104010,13.24915813,11.55224233
8/1/20,568243,103631,13.25030442,11.54859179
9/1/20,566190,102630,13.24668499,11.53888557
10/1/20,533962,105629,13.18807995,11.56768823
11/1/20,536684,107838,13.19316475,11.58838538
12/1/20,549079,110442,13.21599761,11.61224578
1/1/21,554840,109421,13.22643506,11.60295811
2/1/21,560513,107257,13.23660771,11.5829831
3/1/21,561475,105753,13.23832253,11.56886147
4/1/21,560425,104862,13.2364507,11.56040048
5/1/21,563132,105667,13.24126934,11.56804792
6/1/21,564753,106912,13.24414375,11.57976135
7/1/21,564753,106912,13.24414375,11.57976135
8/1/21,578228,99248,13.26772353,11.50537705
9/1/21,579140,97756,13.26929952,11.49022986
10/1/21,579290,97397,13.26955849,11.48655069