State,USA
02/02/20,32
02/07/20,55
02/14/20,122
02/21/20,211
02/28/20,396
03/06/20,1106
03/13/20,4947
03/20/20,25488
03/27/20,112301
04/03/20,287810
04/10/20,506404
04/17/20,710369
04/30/20,1079521
05/07/20,1265923
05/14/20,1427972
05/21/20,1589236
05/28/20,1737091
06/04/20,1890164
06/11/20,2042790
06/18/20,2221296
06/25/20,2469815
07/02/20,2806105
07/09/20,3192392
07/16/20,3650114
07/23/20,4110008
07/30/20,4544008
08/06/20,4924371
08/13/20,5268945
08/20/20,5568538
08/27/20,5851851
09/03/20,6127060
09/10/20,6369991
09/17/20,6643359
09/24/20,6938366
10/1/20,7238596
10/8/20,7561127
10/15/20,7936797
10/22/20,8365403
10/29/20,8894057
11/5/20,9651427
11/12/20,10588851
11/19/20,11748129
11/26/20,12942651
12/3/20,14233476
12/10/20,15728237
12/17/20,17230908
12/24/20,18608837
12/31/20,19980008
01/07/21,21607116
01/14/21,23201103
01/21/21,24476933
01/28/21,25530519
02/04/21,26410188
02/11/21,27092454
02/18/21,27572915
02/25/21,28031254
03/04/21,28451362
03/11/21,28823061
03/18/21,29194053
03/25/21,29594730
04/01/21,30050262
04/08/21,30510112
04/15/21,30984062
04/22/21,31407955
04/29/21,31761128
05/06/21,32066578
05/13/21,32308617
05/20/21,32506017
05/27/21,32656361
06/03/21,32760106
06/10/21,32855958
06/17/21,32902368
06/24/21,32982701
07/01/21,33086375
07/08/21,33208258
07/15/21,33425483
07/22/21,33754563
07/29/21,34254475
08/05/21,34951956
08/12/21,35805524
08/19/21,36737535
08/26/21,37793710
09/02/21,38889222
09/09/21,39891459
09/16/21,40899104
09/23/21,41796271
09/30/21,42556421
10/7/21,43245553
10/14/21,43845525
10/21/21,44343868
10/28/21,44848594
11/4/21,45338655
11/11/21,45863889