Year,Month,Avg_Throughput
2019,January,1916314
2019,February,2048060
2019,March,2339686
2019,April,2350633
2019,May,2401685
2019,June,2555626
2019,July,2559098
2019,August,2401477
2019,September,2231373
2019,October,2326075
2019,November,2322376
2019,December,2265141
2020,January,1997751
2020,February,2158174
2020,March,1064355
2020,April,110752
2020,May,237017
2020,June,491835
2020,July,671719
2020,August,694036
2020,September,727603
2020,October,829570
2020,November,908744
2020,December,851347
2021,January,761233
2021,February,873084
2021,March,1227421
2021,April,1394205
2021,May,1609161
2021,June,1890429
2021,July,2038323
2021,August,1854327
2021,September,1702991
2021,October,1843949
2021,November,1824437
2021,December,